,name,address,distance,rating,comment,price
60,Tango Inn Taipei ZhongShan,"Zhongshan District, Taipei",0.7 k,8.7,Excellent,"TWD 4,865"
61,Roaders Hotel - Zhonghua,"Zhongzheng District, Taipei",0.7 k,8.7,Excellent,"TWD 5,577"
62,Hotel Orchard Park - Taipei,"Datong District , Taipei",0.7 k,7.8,Good,"TWD 2,588"
63,Chian Huei Business Hotel,"Datong District , Taipei",0.8 k,7.9,Good,"TWD 1,800"
64,City Suites - Main Station,"Datong District , Taipei",0.8 k,8.5,Very Good,"TWD 5,520"
65,Soldier Culture7Room blue line MRT30sec26p,"Zhongzheng District, Taipei",0.8 k,9.0,Wonderful,"TWD 45,000"
66,Urhome Hotel,"Zhongshan District, Taipei",0.8 k,8.1,Very Good,"TWD 3,980"
67,Taipei Toy Hotel,"Ximending, Taipei",0.8 k,6.9,Review score,"TWD 2,333"
68,Sunny Hotel,"Ximending, Taipei",0.8 k,7.6,Good,"TWD 3,600"
69,K Hotels Taipei Linsen,"Zhongshan District, Taipei",0.8 k,8.7,Excellent,"TWD 3,938"
70,Tien Chin Hotel,"Zhongshan District, Taipei",0.8 k,7.2,Good,"TWD 2,223"
71,Just Sleep - Ximending,"Zhongzheng District, Taipei",0.8 k,8.8,Excellent,"TWD 6,048"
72,The Tango Hotel Taipei ChangAn,"Zhongshan District, Taipei",0.8 k,8.5,Very Good,"TWD 5,840"
73,The Tango Hotel Taipei Nanshi,"Zhongshan District, Taipei",0.8 k,8.6,Excellent,"TWD 5,670"
74,Hotel COZZI Zhongxiao Taipei,"Zhongzheng District, Taipei",0.8 k,8.9,Excellent,"TWD 6,400"
75,泊居旅店二館 Oursinn Hotel 2,"Zhongshan District, Taipei",0.8 k,7.6,Good,"TWD 3,639"
76,Royal Inn Taipei Linsen - Huashan 1914 Creative Park,"Zhongshan District, Taipei",0.8 k,8.4,Very Good,"TWD 4,701"
77,The Rooms Inn,"Zhongshan District, Taipei",0.8 k,7.7,Good,"TWD 2,600"
78,Dandy Hotel - Tianjin Branch,"Zhongshan District, Taipei",0.8 k,9.0,Wonderful,"TWD 6,000"
79,W S Stay,"Datong District , Taipei",0.8 k,7.9,Good,"TWD 1,980"
80,Ximen Hotel,"Wanhua District , Taipei",0.9 k,7.4,Good,"TWD 4,122"
81,Ximen Hotel B,"Wanhua District , Taipei",0.9 k,7.4,Good,"TWD 5,382"
82,Wonstar Hotel,"Wanhua District , Taipei",0.9 k,8.1,Very Good,"TWD 4,200"
83,RF Hotel  Linsen,"Zhongshan District, Taipei",0.9 k,8.1,Very Good,"TWD 5,119"
84,盤古捷旅 - Panco Hotel,"Zhongshan District, Taipei",0.9 k,8.7,Excellent,"TWD 4,200"
85,Solaria Nishitetsu Hotel Taipei Ximen,"Wanhua District , Taipei",0.9 k,9.1,Wonderful,"TWD 10,340"
86,Muzik Hotel - Ximen Station Branch,"Wanhua District , Taipei",0.9 k,8.0,Very Good,"TWD 4,961"
87,Ximen Garden Inn,"Wanhua District , Taipei",0.9 k,7.2,Good,"TWD 3,600"
88,K Hotel Taipei,"Zhongshan District, Taipei",0.9 k,8.4,Very Good,"TWD 3,657"
89,Hotel 6 - ZhongHua,"Wanhua District , Taipei",0.9 k,7.7,Good,"TWD 3,880"
90,Dealer Hotel,"Datong District , Taipei",0.9 k,7.6,Good,"TWD 2,080"
91,晶城青年旅館 4f,"Datong District , Taipei",0.9 k,7.1,Good,"TWD 1,296"
92,City Suites - Beimen,"Datong District , Taipei",1 km,8.4,Very Good,"TWD 5,808"
93,Dahshin Hotel,"Zhongshan District, Taipei",1 km,7.2,Good,"TWD 2,380"
94,Royal Rose Hotel Linsen,"Zhongshan District, Taipei",1 km,8.0,Very Good,"TWD 3,059"
95,V-one Hotel - Ningxia No. 2 Inn,"Datong District , Taipei",1 km,8.2,Very Good,"TWD 3,867"
96,Hotel Midtown Richardson,"Zhongzheng District, Taipei",1 km,7.9,Good,"TWD 8,136"
97,獨立套房 西門町 離西門捷運站走路只需三分鐘，離西門商圈只需一分鐘，有電梯和洗衣機和獨立淋浴間,"Wanhua District , Taipei",1 km,10,Exceptional,"TWD 2,680"
98,Hua Da Hotel- Nanxi,"Datong District , Taipei",1 km,7.8,Good,"TWD 2,700"
99,Taipei International Hotel,"Zhongshan District, Taipei",1 km,7.6,Good,"TWD 4,833"
100,Golden Home Hotel,"Datong District , Taipei",1 km,7.4,Good,"TWD 2,360"
101,Royal Seasons Hotel Taipei ‧ Nanjing W.,"Datong District , Taipei",1 km,8.3,Very Good,"TWD 3,600"
102,Queens Hotel II,"Datong District , Taipei",1 km,8.1,Very Good,"TWD 5,880"
103,We Come Hostel,"Datong District , Taipei",1 km,9.0,Wonderful,"TWD 3,498"
104,Hotel Royal-Nikko Taipei,"Zhongshan District, Taipei",1 km,8.6,Excellent,"TWD 22,245"
105,City Suites-Taipei Nanxi,"Datong District , Taipei",1 km,8.2,Very Good,"TWD 4,992"
106,Walker Hotel. Ximen,"Wanhua District , Taipei",1 km,7.4,Good,"TWD 5,176"
107,Ximen Airline Hotel,"Wanhua District , Taipei",1 km,8.0,Very Good,"TWD 8,854"
108,WESTGATE Hotel,"Wanhua District , Taipei",1 km,8.6,Excellent,"TWD 10,530"
109,Hotel 6 - Ximen,"Wanhua District , Taipei",1 km,7.7,Good,"TWD 3,580"
110,Ximen 日記,"Wanhua District , Taipei",1 km,7.9,Good,"TWD 4,000"
111,Gugis Inn,"Wanhua District , Taipei",1 km,6.4,Review score,"TWD 3,807"
112,T.O. Hotel Chengde,"Datong District , Taipei",1 km,7.4,Good,"TWD 2,800"
113,Taipei City Hostel,"Wanhua District , Taipei",1.1 k,7.3,Good,"TWD 1,750"
114,Ximen Wow Hostel,"Wanhua District , Taipei",1.1 k,7.6,Good,"TWD 1,458"
115,TW Capsule Hostel,"Wanhua District , Taipei",1.1 k,6.6,Review score,"TWD 1,960"
116,Hub Hotel Ximen Inn,"Wanhua District , Taipei",1.1 k,8.3,Very Good,"TWD 3,544"
117,EZ Stay Hotel,"Wanhua District , Taipei",1.1 k,5.7,Review score,"TWD 2,861"
118,Comma Boutique Hotel,"Wanhua District , Taipei",1.1 k,8.8,Excellent,"TWD 4,100"
119,Honey Prince,"Wanhua District , Taipei",1.1 k,6.3,Review score,"TWD 4,500"
120,Regent Taipei,"Zhongshan District, Taipei",1.1 k,8.7,Excellent,"TWD 16,286"
121,HATAGO+ THE ALLEY,"Wanhua District , Taipei",1.1 k,8.4,Very Good,"TWD 4,992"
122,I Play Inn TP,"Wanhua District , Taipei",1.1 k,7.9,Good,"TWD 3,060"
123,Inn Cube - Ximen,"Wanhua District , Taipei",1.1 k,7.6,Good,"TWD 3,135"
124,inhouse Hotel,"Wanhua District , Taipei",1.1 k,8.4,Very Good,"TWD 4,941"
125,Wonderwall Ximending,"Wanhua District , Taipei",1.1 k,8.5,Very Good,"TWD 3,116"
126,星西門行旅,"Wanhua District , Taipei",1.1 k,7.9,Good,"TWD 2,232"
127,HotelsHere - Ximen,"Wanhua District , Taipei",1.1 k,6.6,Review score,"TWD 3,042"
128,The Moon Hotel,"Zhongshan District, Taipei",1.1 k,7.1,Good,"TWD 3,500"
129,LaVita Hotel,"Wanhua District , Taipei",1.1 k,7.9,Good,"TWD 4,000"
130,Hotel Puri,"Wanhua District , Taipei",1.2 k,8.2,Very Good,"TWD 3,500"
131,Tomorrow Hotel,"Wanhua District , Taipei",1.2 k,7.3,Good,"TWD 3,200"
132,Burgary Hotel,"Wanhua District , Taipei",1.2 k,7.7,Good,"TWD 4,482"
133,SWIIO Hotel Ximending,"Wanhua District , Taipei",1.2 k,7.9,Good,"TWD 3,716"
134,Hotel Cloud,"Zhongshan District, Taipei",1.2 k,7.9,Good,"TWD 5,303"
135,Funny Ximen Hotel,"Wanhua District , Taipei",1.2 k,7.2,Good,"TWD 4,000"
136,Goodscompany,"Wanhua District , Taipei",1.2 k,6.6,Review score,"TWD 4,486"
137,E-House Xining Branch,"Wanhua District , Taipei",1.2 k,7.4,Good,"TWD 3,600"
138,欣欣旅店,"Wanhua District , Taipei",1.2 k,7.4,Good,"TWD 2,400"
139,Haozhan Hotel,"Wanhua District , Taipei",1.2 k,7.1,Good,"TWD 4,000"
140,Ambience Hotel Taipei,"Zhongshan District, Taipei",1.2 k,8.6,Excellent,"TWD 5,207"
141,Hotel 6 - Wannien,"Wanhua District , Taipei",1.2 k,7.9,Good,"TWD 3,280"
142,CU Hotel Taipei,"Datong District , Taipei",1.2 k,8.1,Very Good,"TWD 4,569"
143,Hotel PaPa Whale,"Wanhua District , Taipei",1.2 k,8.3,Very Good,"TWD 5,472"
144,Taipei Backpackers Hostel,"Wanhua District , Taipei",1.2 k,6.8,Review score,"TWD 1,500"
145,日光樂居西門館 Fun Stay Inn Ximen,"Wanhua District , Taipei",1.2 k,8.3,Very Good,"TWD 4,558"
146,苓旅萬年-LIN INN Wan Nian,"Wanhua District , Taipei",1.2 k,8.0,Very Good,"TWD 4,180"
147,E-House Hotel,"Wanhua District , Taipei",1.2 k,7.3,Good,"TWD 2,860"
148,Dan Hostel丹居青旅,"Wanhua District , Taipei",1.2 k,8.4,Very Good,"TWD 2,520"
149,Guide Hotel Taipei Dadaocheng,"Datong District , Taipei",1.2 k,6.9,Review score,"TWD 2,589"
150,Cheers Loft Self Check-in Hotel,"Wanhua District , Taipei",1.2 k,6.3,Review score,"TWD 2,340"
151,Art Inn - Kaifeng,"Wanhua District , Taipei",1.2 k,7.0,Good,"TWD 2,900"
152,Beauty Hotels Taipei - Hotel Bfun Self Check in Hotel,"Zhongshan District, Taipei",1.3 k,8.0,Very Good,"TWD 5,460"
153,Wow Happy- Taipei,"Zhongzheng District, Taipei",1.3 k,8.7,Excellent,"TWD 4,725"
154,Beauty Hotels Taipei - Hotel B6,"Wanhua District , Taipei",1.3 k,7.4,Good,"TWD 5,290"
155,Hotels Here - Taipei,"Zhongshan District, Taipei",1.3 k,6.7,Review score,"TWD 2,980"
156,Homey House,"Zhongshan District, Taipei",1.3 k,7.8,Good,"TWD 3,312"
157,朵兒dor韓國汗蒸幕 동대문점 商務旅店,"Zhongshan District, Taipei",1.3 k,8.8,Excellent,"TWD 5,220"
158,Beauty Hotels - Hotel Bnight-Self Check-In Hotel,"Zhongshan District, Taipei",1.3 k,8.0,Very Good,"TWD 4,800"
159,泊居旅店 Oursinn Hotel,"Zhongshan District, Taipei",1.3 k,7.2,Good,"TWD 5,072"
160,Dream Travel,"Wanhua District , Taipei",1.3 k,6.4,Review score,"TWD 3,500"
161,Han She Hotel,"Wanhua District , Taipei",1.3 k,7.0,Good,"TWD 5,200"
162,Colors Infinity Inn,"Zhongshan District, Taipei",1.3 k,7.8,Good,"TWD 3,629"
163,Hua Shan Din by Cosmos Creation - Huashan Creative Park,"Zhongzheng District, Taipei",1.3 k,8.7,Excellent,"TWD 8,727"
164,ColorMix Hotel & Hostel,"Wanhua District , Taipei",1.3 k,8.2,Very Good,"TWD 4,200"
165,Mei Lodge,"Wanhua District , Taipei",1.3 k,7.9,Good,"TWD 2,000"
166,Beauty Hotels Taipei - Hotel Bchic,"Zhongshan District, Taipei",1.3 k,8.2,Very Good,"TWD 6,700"
167,在家行旅At Home Hotel,"Zhongshan District, Taipei",1.3 k,9.2,Wonderful,"TWD 3,762"
168,Tango Inn Taipei Ximen,"Wanhua District , Taipei",1.3 k,8.5,Very Good,"TWD 5,663"
169,Energy Inn,"Wanhua District , Taipei",1.4 k,9.1,Wonderful,"TWD 5,280"
170,Beauty Hotels Taipei - Hotel Bstay,"Zhongshan District, Taipei",1.4 k,7.6,Good,"TWD 4,760"
171,Hotel I Journey,"Zhongshan District, Taipei",1.4 k,7.9,Good,"TWD 3,840"
172,Hotel Gracery Taipei,"Zhongzheng District, Taipei",1.4 k,9.0,Wonderful,"TWD 7,216"
173,GAWA Hotel,"Zhongshan District, Taipei",1.4 k,7.9,Good,"TWD 2,002"
174,Cho Hotel 3,"Wanhua District , Taipei",1.4 k,8.8,Excellent,"TWD 6,881"
175,Welove meworld Inn,"Wanhua District , Taipei",1.4 k,7.7,Good,"TWD 2,643"
176,Red Cabin Inn,"Wanhua District , Taipei",1.4 k,7.5,Good,"TWD 1,680"
